# [1] = simulation resolution,	 [n+1] = cstcool
       2048	       2048	        512	        128	         32	          8
# [1] = size (cells),	 [n+1] = PDF[n]
     10.9610	     13.0000	  11598.0000e	  15748.0000e	  11920.0000e	  19111.0000e
     13.1690	      3.0000	   5829.0000e	  11897.0000e	   4709.0000e	   7510.0000e
     15.8217	      7.0000	   7096.0000e	   9907.0000e	   8205.0000e	   6519.0000e
     19.0088	      6.0000	   5563.0000e	   8221.0000e	   6532.0000e	   5704.0000e
     22.8378	     11.0000	   6873.0000e	   9583.0000e	   5140.0000e	   9438.0000e
     27.4382	     14.0000	   4943.0000e	   7746.0000e	   4326.0000e	   3717.0000e
     32.9653	     14.0000	   4468.0000e	   8064.0000e	   5197.0000e	   6317.0000e
     39.6057	     19.0000	   4221.0000e	   6606.0000e	   4157.0000e	   5178.0000e
     47.5838	     17.0000	   3861.0000e	   6932.0000e	   3384.0000e	   4242.0000e
     57.1689	     30.0000	   3252.0000e	   5997.0000e	   3917.0000e	   4861.0000e
     68.6848	     27.0000	   3095.0000e	   5375.0000e	   3051.0000e	   3860.0000e
     82.5205	     33.0000	   2408.0000e	   4896.0000e	   3067.0000e	   2982.0000e
     99.1432	     41.0000	   2304.0000e	   3653.0000e	   2820.0000e	   2332.0000e
    119.1143	     46.0000	   2646.0000e	   4274.0000e	   2295.0000e	   1921.0000e
    143.1084	     62.0000	   2683.0000e	   3337.0000e	   1989.0000e	   1947.0000e
    171.9357	     66.0000	   2879.0000e	   2789.0000e	   1601.0000e	   1641.0000e
    206.5699	     66.0000	   3616.0000e	   2512.0000e	   1398.0000e	   1229.0000e
    248.1807	     59.0000	   3340.0000e	   2114.0000e	   1041.0000e	    866.0000
    298.1735	     60.0000	   3236.0000e	   2042.0000e	    988.0000	    744.0000
    358.2368	     55.0000	   2912.0000e	   1747.0000e	    894.0000	    614.0000
    430.3989	     85.0000	   2662.0000e	   1805.0000e	    550.0000	    431.0000
    517.0972	  18406.0000e	   2587.0000e	   1388.0000e	    374.0000	    334.0000
    621.2598	      6.0000	    423.0000	    706.0000	    341.0000	    295.0000
    746.4045	     35.0000	    323.0000	    512.0000	    221.0000	    131.0000
    896.7581	      4.0000	    544.0000	    290.0000	    139.0000	    114.0000
      1.0774e3	     13.0000	    204.0000	     73.0000	     93.0000	     68.0000
      1.2944e3	     14.0000	      3.0000	     64.0000	     70.0000	     28.0000
      1.5552e3	     18.0000	     12.0000	     75.0000	     19.0000	      8.0000
      1.8684e3	      0.0000	     27.0000	     53.0000	      9.0000	      4.0000
