# [1] = simulation resolution,	 [n+1] = cstcool
       2048	       2048	        512	        128	         32	          8
# [1] = size (cells),	 [n+1] = PDF[n]
     10.9610	     11.0000	  10374.0000e	  15448.0000e	  14268.0000e	   4780.0000e
     13.1690	      5.0000	   5044.0000e	  11766.0000e	   5615.0000e	   3899.0000e
     15.8217	      8.0000	   6211.0000e	   9668.0000e	   5021.0000e	   3260.0000e
     19.0088	      6.0000	   4760.0000e	  11295.0000e	   7932.0000e	   4847.0000e
     22.8378	     15.0000	   5782.0000e	   8783.0000e	   6353.0000e	   1811.0000e
     27.4382	     12.0000	   4469.0000e	   7504.0000e	   4833.0000e	   1621.0000e
     32.9653	      8.0000	   4550.0000e	   7889.0000e	   3746.0000e	   2550.0000e
     39.6057	     22.0000	   3582.0000e	   7220.0000e	   4484.0000e	   1029.0000e
     47.5838	     18.0000	   3230.0000e	   5484.0000e	   2513.0000e	   1629.0000e
     57.1689	     30.0000	   3086.0000e	   5454.0000e	   3788.0000e	   1209.0000e
     68.6848	     24.0000	   2680.0000e	   5063.0000e	   1970.0000e	    970.0000
     82.5205	     32.0000	   2210.0000e	   5144.0000e	   2122.0000e	    795.0000
     99.1432	     40.0000	   2068.0000e	   4926.0000e	   1526.0000e	    871.0000
    119.1143	     47.0000	   1888.0000e	   3771.0000e	   1454.0000e	    428.0000
    143.1084	     62.0000	   2295.0000e	   3815.0000e	   1085.0000e	    508.0000
    171.9357	     70.0000	   2611.0000e	   3256.0000e	    757.0000	    304.0000
    206.5699	     71.0000	   3120.0000e	   2913.0000e	    754.0000	    343.0000
    248.1807	     57.0000	   3317.0000e	   2260.0000e	    476.0000	    159.0000
    298.1735	     55.0000	   2821.0000e	   1965.0000e	    399.0000	    114.0000
    358.2368	     55.0000	   2583.0000e	   1467.0000e	    300.0000	    164.0000
    430.3989	     84.0000	   2226.0000e	   1008.0000e	    304.0000	     59.0000
    517.0972	  18408.0000e	   2543.0000e	    968.0000	    185.0000	     83.0000
    621.2598	      7.0000	    451.0000	    486.0000	    147.0000	     31.0000
    746.4045	     34.0000	    181.0000	    133.0000	    149.0000	     29.0000
    896.7581	      5.0000	    505.0000	    155.0000	     63.0000	     14.0000
      1.0774e3	     14.0000	    129.0000	    154.0000	     50.0000	      5.0000
      1.2944e3	     14.0000	     14.0000	    156.0000	      4.0000	      6.0000
      1.5552e3	     17.0000	      8.0000	     26.0000	     20.0000	      8.0000
      1.8684e3	      0.0000	     38.0000	     64.0000	     13.0000	      4.0000
